epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.4162,2.00477,2.8512,1.86005,0.65343,0.28193,0.24899,0.09941,2.15587,2.23526,1.99731,0.000301032,0.000301032,0.000301032
2,132.563,1.96983,2.30511,1.86217,0.68403,0.24352,0.25646,0.1044,2.13925,2.07338,1.99734,0.000603437,0.000603437,0.000603437
3,194.02,1.97232,2.22422,1.87225,0.70987,0.27162,0.27816,0.11119,2.1834,2.18285,2.07366,0.00090346,0.00090346,0.00090346
4,255.386,1.95632,2.17931,1.85604,0.67263,0.30989,0.29402,0.1146,2.18484,1.9738,2.01128,0.000900958,0.000900958,0.000900958
5,324.75,1.96068,2.10047,1.8474,0.73498,0.33071,0.33607,0.1318,2.14125,1.92686,2.01541,0.000894735,0.000894735,0.000894735
6,387.036,1.90895,2.01763,1.81361,0.53831,0.35208,0.32832,0.13424,2.12276,1.93238,1.97499,0.000886777,0.000886777,0.000886777
7,448.556,1.90787,1.99587,1.82361,0.63451,0.37161,0.39509,0.16963,2.08383,1.77586,1.96279,0.000877115,0.000877115,0.000877115
8,510.815,1.9049,1.93863,1.80568,0.62095,0.38996,0.37605,0.15541,2.09018,1.75794,1.94988,0.000865787,0.000865787,0.000865787
9,573.515,1.87768,1.90204,1.79149,0.65799,0.34152,0.3809,0.16421,2.0948,1.79882,1.97549,0.000852838,0.000852838,0.000852838
10,635.751,1.88672,1.87735,1.79467,0.59915,0.35239,0.35867,0.1506,2.12546,1.80976,1.96657,0.000838318,0.000838318,0.000838318
11,698.018,1.86954,1.8324,1.7888,0.66883,0.40111,0.41972,0.17396,2.11401,1.67675,1.99042,0.000822285,0.000822285,0.000822285
12,760.179,1.85877,1.80774,1.77036,0.62711,0.37557,0.37738,0.15301,2.10094,1.75384,1.96764,0.000804803,0.000804803,0.000804803
13,822.481,1.85348,1.80043,1.76924,0.61104,0.39729,0.38225,0.16025,2.11322,1.7173,1.96597,0.000785939,0.000785939,0.000785939
14,890.35,1.85077,1.79603,1.77442,0.74094,0.3733,0.42174,0.18214,2.09867,1.56698,1.94783,0.00076577,0.00076577,0.00076577
15,953.039,1.84956,1.75876,1.76532,0.67649,0.39944,0.4155,0.17369,2.10577,1.65335,1.95548,0.000744374,0.000744374,0.000744374
16,1014.83,1.83203,1.74036,1.74654,0.63793,0.42781,0.42358,0.18968,2.07291,1.54616,1.938,0.000721836,0.000721836,0.000721836
17,1076.06,1.84788,1.74305,1.75886,0.67097,0.40829,0.43031,0.18805,2.06997,1.62127,1.91387,0.000698244,0.000698244,0.000698244
18,1137.38,1.81923,1.69399,1.73407,0.74194,0.40297,0.45955,0.21009,2.04993,1.53165,1.90237,0.000673693,0.000673693,0.000673693
19,1200.51,1.80385,1.69272,1.72783,0.74265,0.44922,0.4875,0.21198,2.05436,1.50333,1.91387,0.000648278,0.000648278,0.000648278
20,1262.45,1.80115,1.66637,1.72165,0.72583,0.398,0.42669,0.19541,2.06527,1.57847,1.91465,0.0006221,0.0006221,0.0006221
21,1324.11,1.78673,1.6594,1.71277,0.68704,0.41385,0.4232,0.19167,2.05616,1.52944,1.88974,0.000595262,0.000595262,0.000595262
22,1385.93,1.77819,1.64259,1.71251,0.67259,0.41446,0.43978,0.19474,2.02463,1.52804,1.91104,0.000567871,0.000567871,0.000567871
23,1447.12,1.77989,1.62115,1.70682,0.70047,0.41642,0.44987,0.20022,2.08736,1.49748,1.91146,0.000540034,0.000540034,0.000540034
24,1513.58,1.76063,1.61044,1.70088,0.70198,0.41871,0.46215,0.21094,2.02683,1.46578,1.88237,0.000511861,0.000511861,0.000511861
25,1576.42,1.77045,1.60766,1.70013,0.54282,0.4049,0.44123,0.2043,2.0221,1.48448,1.87228,0.000483464,0.000483464,0.000483464
26,1639.27,1.75095,1.57248,1.68651,0.58278,0.42934,0.47869,0.22531,2.0256,1.4325,1.86151,0.000454955,0.000454955,0.000454955
27,1700.52,1.74123,1.54981,1.68785,0.52579,0.42491,0.47009,0.21881,2.06467,1.46029,1.88075,0.000426445,0.000426445,0.000426445
28,1761.34,1.7349,1.54545,1.67534,0.55877,0.43327,0.46964,0.21203,2.04353,1.42439,1.88756,0.000398048,0.000398048,0.000398048
29,1822.9,1.72887,1.52962,1.67064,0.6007,0.40926,0.45956,0.20824,2.01266,1.42364,1.8586,0.000369875,0.000369875,0.000369875
30,1885.75,1.73873,1.52238,1.66862,0.54202,0.44174,0.46907,0.21554,2.02062,1.38168,1.85937,0.000342038,0.000342038,0.000342038
31,1947.49,1.71331,1.48177,1.65546,0.58138,0.41812,0.47308,0.21855,2.01737,1.3871,1.86073,0.000314647,0.000314647,0.000314647
32,2008.61,1.69891,1.4741,1.6499,0.53302,0.4479,0.47577,0.2212,2.00183,1.39632,1.85593,0.000287809,0.000287809,0.000287809
33,2072.06,1.70506,1.47459,1.64557,0.53025,0.44567,0.47508,0.22415,1.99611,1.38538,1.85459,0.000261631,0.000261631,0.000261631
34,2136.64,1.6919,1.44911,1.63901,0.54314,0.45207,0.49097,0.23237,2.00554,1.36237,1.84764,0.000236216,0.000236216,0.000236216
35,2198.33,1.6998,1.45552,1.64219,0.5346,0.45995,0.47576,0.22321,1.99823,1.35643,1.84626,0.000211665,0.000211665,0.000211665
36,2260.29,1.67678,1.4228,1.63039,0.60998,0.45221,0.49636,0.22638,2.00522,1.35529,1.85128,0.000188073,0.000188073,0.000188073
37,2322.58,1.6877,1.43726,1.63776,0.54858,0.45055,0.48599,0.22964,1.99284,1.34539,1.83582,0.000165535,0.000165535,0.000165535
38,2384.31,1.67515,1.41879,1.62522,0.52884,0.45989,0.476,0.22441,2.0086,1.36557,1.84793,0.000144139,0.000144139,0.000144139
39,2445.82,1.66368,1.40606,1.61637,0.54349,0.44906,0.49547,0.23246,1.99317,1.3521,1.84715,0.00012397,0.00012397,0.00012397
40,2507.09,1.64429,1.41303,1.62228,0.54026,0.44713,0.47962,0.22486,2.00298,1.34497,1.84374,0.000105106,0.000105106,0.000105106
