epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4256,2.08347,2.82002,1.91506,0.62229,0.26488,0.23336,0.09108,2.24124,2.23694,2.10237,0.000275778,0.000275778,0.000275778
2,128.961,1.98114,2.26574,1.89189,0.65653,0.28118,0.26021,0.09875,2.18977,2.13189,2.1159,0.000553308,0.000553308,0.000553308
3,191.381,1.98307,2.21026,1.88717,0.66199,0.27179,0.25998,0.10118,2.21673,2.11083,2.13014,0.000830292,0.000830292,0.000830292
4,253.787,1.99084,2.17465,1.89165,0.72103,0.27644,0.28527,0.1137,2.23064,1.92523,2.06561,0.000831153,0.000831153,0.000831153
5,314.816,1.97664,2.09834,1.86902,0.57237,0.31913,0.3276,0.12891,2.14881,2.00228,2.02751,0.000829719,0.000829719,0.000829719
6,375.341,1.95193,2.06066,1.85972,0.54436,0.34032,0.32807,0.13185,2.13941,1.83055,2.02118,0.000827877,0.000827877,0.000827877
7,436.275,1.92572,1.98229,1.83916,0.60526,0.32873,0.34682,0.14381,2.08275,1.81624,1.96686,0.00082563,0.00082563,0.00082563
8,503.919,1.91417,1.96892,1.83851,0.58255,0.30497,0.33433,0.13718,2.08361,1.81687,1.99586,0.000822979,0.000822979,0.000822979
9,565.017,1.90934,1.93936,1.83504,0.58459,0.35653,0.36746,0.15292,2.09868,1.76972,2.00903,0.000819928,0.000819928,0.000819928
10,626.377,1.89795,1.94745,1.83833,0.60518,0.32171,0.35823,0.15068,2.10525,1.80544,2.04287,0.000816479,0.000816479,0.000816479
11,686.925,1.89014,1.90165,1.82116,0.62174,0.35521,0.39,0.17414,2.07213,1.69098,1.93591,0.000812635,0.000812635,0.000812635
12,748.043,1.88617,1.85968,1.80799,0.59899,0.33814,0.36969,0.15608,2.0958,1.74085,1.95073,0.000808401,0.000808401,0.000808401
13,809.2,1.88936,1.88486,1.80027,0.59598,0.34418,0.3753,0.15833,2.10674,1.74259,1.95833,0.000803781,0.000803781,0.000803781
14,870.896,1.87712,1.83684,1.78784,0.62373,0.35986,0.39073,0.16491,2.06965,1.64942,1.95526,0.000798779,0.000798779,0.000798779
15,931.408,1.87813,1.81551,1.79759,0.62006,0.35049,0.40892,0.16517,2.09332,1.65342,1.95274,0.0007934,0.0007934,0.0007934
16,992.664,1.86759,1.80515,1.78522,0.62223,0.34895,0.38689,0.16462,2.08959,1.72572,1.99733,0.00078765,0.00078765,0.00078765
17,1060.8,1.86018,1.78486,1.78172,0.62385,0.36924,0.40946,0.18738,2.0502,1.57998,1.90229,0.000781533,0.000781533,0.000781533
18,1122.86,1.85782,1.77961,1.78014,0.61317,0.35306,0.38599,0.16551,2.11802,1.64313,1.97432,0.000775057,0.000775057,0.000775057
19,1184.36,1.85692,1.78986,1.78202,0.62266,0.3672,0.40073,0.17213,2.05691,1.70862,1.94926,0.000768227,0.000768227,0.000768227
20,1244.94,1.84411,1.74549,1.76479,0.61943,0.36537,0.40007,0.17306,2.09198,1.63587,1.92849,0.000761051,0.000761051,0.000761051
21,1306.3,1.84127,1.74306,1.7644,0.63359,0.36765,0.40309,0.16853,2.10147,1.60063,1.93627,0.000753535,0.000753535,0.000753535
22,1367.36,1.84399,1.73675,1.76889,0.63373,0.38281,0.41343,0.17514,2.06944,1.59574,1.93026,0.000745687,0.000745687,0.000745687
23,1427.76,1.82894,1.70231,1.74282,0.64614,0.38512,0.42142,0.18583,2.03951,1.52423,1.9093,0.000737514,0.000737514,0.000737514
24,1487.97,1.83291,1.69529,1.7582,0.63288,0.38403,0.41998,0.19781,2.02847,1.53809,1.88134,0.000729025,0.000729025,0.000729025
25,1549.9,1.82849,1.70032,1.74419,0.63781,0.37155,0.41171,0.18059,2.11313,1.55449,1.9419,0.000720228,0.000720228,0.000720228
26,1611.83,1.81186,1.69027,1.75643,0.6353,0.38591,0.42038,0.19347,2.00519,1.50803,1.87798,0.000711132,0.000711132,0.000711132
27,1679.71,1.8179,1.68808,1.74176,0.62538,0.36382,0.40906,0.17431,2.08638,1.55384,1.92098,0.000701745,0.000701745,0.000701745
28,1741.6,1.81842,1.70215,1.7575,0.63364,0.39288,0.4274,0.18371,2.06117,1.52007,1.92584,0.000692077,0.000692077,0.000692077
29,1803.05,1.81169,1.68104,1.73706,0.65133,0.38599,0.419,0.18371,2.04437,1.49429,1.89502,0.000682138,0.000682138,0.000682138
30,1863.29,1.80977,1.64592,1.72645,0.79985,0.39919,0.44157,0.19365,2.03968,1.48185,1.87814,0.000671937,0.000671937,0.000671937
31,1924.27,1.80243,1.61946,1.71869,0.65094,0.39079,0.42619,0.18079,2.07012,1.49966,1.89637,0.000661484,0.000661484,0.000661484
32,1985.1,1.80722,1.62628,1.71868,0.81255,0.40465,0.44069,0.20402,2.03648,1.43981,1.87685,0.00065079,0.00065079,0.00065079
33,2046.29,1.78499,1.63468,1.72382,0.81679,0.39232,0.42776,0.18746,2.05341,1.46541,1.90765,0.000639865,0.000639865,0.000639865
34,2107.75,1.79637,1.61394,1.72034,0.80793,0.39517,0.42379,0.18748,2.03414,1.5092,1.90365,0.00062872,0.00062872,0.00062872
35,2168.58,1.78582,1.61446,1.7194,0.80098,0.39862,0.43624,0.20284,2.0099,1.47604,1.85746,0.000617366,0.000617366,0.000617366
36,2229.43,1.78191,1.59386,1.72114,0.66144,0.39451,0.43342,0.19945,2.01444,1.44694,1.88785,0.000605814,0.000605814,0.000605814
37,2295.21,1.78415,1.58391,1.70543,0.83587,0.40645,0.45133,0.20158,2.0147,1.42302,1.85605,0.000594076,0.000594076,0.000594076
38,2355.89,1.78195,1.59454,1.70861,0.82351,0.39112,0.43284,0.18964,2.0299,1.45772,1.87216,0.000582163,0.000582163,0.000582163
39,2416.27,1.77211,1.57948,1.69679,0.83905,0.39957,0.44421,0.20545,2.02651,1.44306,1.87411,0.000570087,0.000570087,0.000570087
