epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7789,2.07769,2.72818,1.94838,0.74041,0.27584,0.30242,0.12149,2.17505,2.16602,2.04711,0.000275791,0.000275791,0.000275791
2,132.467,1.98727,2.08151,1.90646,0.52637,0.27378,0.28122,0.10503,2.17314,2.01549,2.0754,0.000553321,0.000553321,0.000553321
3,195.139,1.98058,2.07045,1.9039,0.4971,0.26156,0.25229,0.09716,2.2729,2.11554,2.19143,0.000830305,0.000830305,0.000830305
4,263.37,2.00493,2.08242,1.92629,0.51492,0.3049,0.28245,0.11651,2.16424,1.90224,2.06,0.000831153,0.000831153,0.000831153
5,326.486,1.98599,2.02265,1.90689,0.57803,0.31597,0.33644,0.13964,2.14718,1.83389,2.03813,0.000829719,0.000829719,0.000829719
6,389.731,1.96473,1.99289,1.8933,0.57593,0.3332,0.34716,0.1411,2.16678,1.79235,2.07493,0.000827877,0.000827877,0.000827877
7,452.612,1.93788,1.93413,1.87891,0.59311,0.33373,0.35461,0.15347,2.16709,1.73728,2.03161,0.00082563,0.00082563,0.00082563
8,516.147,1.92935,1.9264,1.87799,0.60906,0.34428,0.37095,0.15041,2.07662,1.78079,2.02071,0.000822979,0.000822979,0.000822979
9,579.104,1.91228,1.86374,1.85359,0.57526,0.36206,0.37412,0.15645,2.14934,1.68187,2.03134,0.000819928,0.000819928,0.000819928
10,642.424,1.90092,1.85252,1.85517,0.61318,0.34086,0.36562,0.14719,2.17221,1.73324,2.07501,0.000816479,0.000816479,0.000816479
11,705.128,1.9065,1.84314,1.84039,0.6013,0.32528,0.36035,0.14955,2.13991,1.73317,2.0248,0.000812635,0.000812635,0.000812635
12,767.745,1.89154,1.82688,1.84509,0.62404,0.36394,0.39242,0.16882,2.09132,1.63489,1.99994,0.000808401,0.000808401,0.000808401
13,833.602,1.89531,1.78319,1.82893,0.63982,0.36766,0.39906,0.17215,2.09565,1.59918,1.99189,0.000803781,0.000803781,0.000803781
14,901.389,1.87313,1.76204,1.82238,0.62307,0.36735,0.3946,0.17306,2.0517,1.61068,1.97879,0.000798779,0.000798779,0.000798779
15,965.419,1.86967,1.74929,1.81488,0.60495,0.38876,0.39643,0.17855,2.07389,1.60412,1.97373,0.0007934,0.0007934,0.0007934
16,1028.29,1.84841,1.72311,1.80337,0.63325,0.37264,0.404,0.17539,2.10129,1.58424,1.98432,0.00078765,0.00078765,0.00078765
17,1091.32,1.8365,1.71222,1.78736,0.64097,0.38098,0.40773,0.16858,2.09433,1.61013,2.00752,0.000781533,0.000781533,0.000781533
18,1154.03,1.83426,1.69353,1.7882,0.62961,0.38368,0.41853,0.18327,2.08959,1.53803,1.97941,0.000775057,0.000775057,0.000775057
19,1216.08,1.83535,1.69681,1.79787,0.64091,0.37556,0.40836,0.18166,2.07965,1.54877,1.97904,0.000768227,0.000768227,0.000768227
20,1277.73,1.83381,1.70614,1.79286,0.647,0.37487,0.40356,0.17964,2.09092,1.54804,1.95605,0.000761051,0.000761051,0.000761051
21,1339.92,1.82661,1.6689,1.78247,0.64797,0.39499,0.43776,0.18463,2.09846,1.49878,1.95521,0.000753535,0.000753535,0.000753535
22,1402.54,1.81341,1.64506,1.77249,0.63315,0.38366,0.40863,0.18498,2.0678,1.50059,1.95762,0.000745687,0.000745687,0.000745687
